timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1514403877.155902,0.705438,1.446834,1.063793,0.155233,-0.143159,-0.121267,0.080150,-0.992326,-0.094114,0.046009,-0.024672,-0.003542,-31.336517,-47.736126,34.155670,,,,,,,1
1514403877.165881,0.719704,1.447296,1.047875,0.166973,-0.149628,-0.121275,0.081182,-0.992384,-0.092616,-0.004766,-0.007571,0.010524,-31.162125,-47.670322,34.514099,,,,,,,1
1514403877.175860,0.736156,1.447748,1.030038,0.182114,-0.117339,-0.137148,0.082394,-0.992439,-0.090936,-0.037716,-0.002297,0.012994,-31.162125,-47.670322,34.514099,,,,,,,1
1514403877.185870,0.753477,1.448179,1.011440,0.185336,-0.115215,-0.137133,0.083665,-0.992492,-0.089184,-0.032960,-0.001466,0.013546,-30.902298,-47.587669,34.696533,,,,,,,1
1514403877.195849,0.770254,1.448646,0.993441,0.184275,-0.103601,-0.124247,0.084826,-0.992549,-0.087435,-0.010760,-0.001088,0.019762,-30.902298,-47.587669,34.696533,,,,,,,1
1514403877.205828,0.786474,1.449006,0.976403,0.166267,-0.054251,-0.124059,0.085979,-0.992593,-0.085795,0.000462,0.000405,0.021265,-30.819687,-47.703938,34.801819,,,,,,,1
1514403877.215838,0.802346,1.449146,0.960278,0.145069,-0.002723,-0.126005,0.087231,-0.992610,-0.084323,0.005680,0.010768,0.013049,-30.819687,-47.703938,34.801819,,,,,,,1
1514403877.225817,0.817614,1.449315,0.945056,0.147244,0.020610,-0.108784,0.088385,-0.992630,-0.082866,0.019052,0.018860,-0.001026,-30.666763,-47.567490,34.980164,,,,,,,1
1514403877.235762,0.831176,1.449657,0.931505,0.141743,0.003061,-0.076784,0.089250,-0.992672,-0.081431,0.038772,0.008449,-0.001058,-30.666763,-47.567490,34.980164,,,,,,,1
1514403877.245771,0.841624,1.450235,0.920487,0.134944,-0.071391,-0.035414,0.089668,-0.992741,-0.080112,0.053856,-0.001628,-0.001187,-30.623306,-47.357353,35.179901,,,,,,,1
1514403877.255751,0.848667,1.451172,0.912011,0.137717,-0.153457,0.012356,0.089532,-0.992854,-0.078863,0.049430,-0.007330,0.011297,-30.623306,-47.357353,35.179901,,,,,,,1
1514403877.265730,0.852637,1.452312,0.906411,0.119433,-0.154915,0.046544,0.088991,-0.992989,-0.077762,0.026289,-0.018760,0.040744,-30.420044,-47.462345,35.263702,,,,,,,1
1514403877.275740,0.854373,1.453418,0.903527,0.091779,-0.099336,0.063857,0.088297,-0.993119,-0.076886,0.007177,-0.018874,0.051831,-30.420044,-47.462345,35.263702,,,,,,,1
1514403877.285719,0.854459,1.454645,0.902857,0.087601,-0.046235,0.099384,0.087384,-0.993262,-0.076077,0.018695,-0.001825,0.036343,-30.235626,-47.064545,35.265808,,,,,,,1
